case_id,date_reception,commune,activite,type_autorisation,canal_depot,pieces_fournies,pieces_obligatoires_attendues,pieces_manquantes,service_competent,delai_instruction_indicatif,risque_principal,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
AUT-2026-0001,2026-01-07,Casablanca,prestataire informatique,autorisation simple declaration,Depot papier scanne,plan cadastral; demande manuscrite; photos du local; CIN representant; plan amenagement; certificat propriete ou bail; demande d'autorisation,plan cadastral; certificat propriete ou bail; statuts societe; demande manuscrite; plan amenagement; certificat de conformite,statuts societe; certificat de conformite,division affaires economiques,7 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0001 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->plan cadastral;certificat propriete ou bail;statuts societe;demande manuscrite;plan amenagement;certificat de conformite; Dossier->a_fourni->plan cadastral;demande manuscrite;photos du local;CIN representant;plan amenagement;certificat propriete ou bail;demande d'autorisation; Dossier->manque->statuts societe;certificat de conformite; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0002,2026-01-09,Marrakech,restaurant et restauration rapide,autorisation enseigne,Rokhas,plan cadastral; certificat de conformite; registre de commerce; photos du local; statuts societe; CIN representant; demande d'autorisation,photos du local; demande d'autorisation; statuts societe; plan cadastral; CIN representant; certificat de conformite; certificat propriete ou bail; plan amenagement,certificat propriete ou bail; plan amenagement,guichet commune,15 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0002 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;demande d'autorisation;statuts societe;plan cadastral;CIN representant;certificat de conformite;certificat propriete ou bail;plan amenagement; Dossier->a_fourni->plan cadastral;certificat de conformite;registre de commerce;photos du local;statuts societe;CIN representant;demande d'autorisation; Dossier->manque->certificat propriete ou bail;plan amenagement; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0003,2026-01-11,Fes,bureau d'etudes,autorisation occupation temporaire,Depot papier scanne,plan amenagement; photos du local; statuts societe; demande d'autorisation; certificat propriete ou bail,plan cadastral; photos du local; demande manuscrite; demande d'autorisation; certificat de conformite; plan amenagement,plan cadastral; demande manuscrite; certificat de conformite,CRI / orientation investissement,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0003 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->plan cadastral;photos du local;demande manuscrite;demande d'autorisation;certificat de conformite;plan amenagement; Dossier->a_fourni->plan amenagement;photos du local;statuts societe;demande d'autorisation;certificat propriete ou bail; Dossier->manque->plan cadastral;demande manuscrite;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0004,2026-01-13,Tetouan,salon de coiffure,autorisation exploitation commerciale,Guichet commune,plan cadastral; demande d'autorisation; statuts societe; CIN representant; certificat de conformite,certificat propriete ou bail; photos du local; certificat de conformite; statuts societe; plan cadastral,certificat propriete ou bail; photos du local,plateforme Rokhas,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0004 permet d'instruire une autorisation exploitation commerciale et lister les pieces manquantes.,autorisation exploitation commerciale->exige->certificat propriete ou bail;photos du local;certificat de conformite;statuts societe;plan cadastral; Dossier->a_fourni->plan cadastral;demande d'autorisation;statuts societe;CIN representant;certificat de conformite; Dossier->manque->certificat propriete ou bail;photos du local; Risque->ORANGE,https://rabat.eregulations.org/procedure/112/75?l=fr,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0005,2026-01-15,Tanger,salon de coiffure,autorisation simple declaration,Depot papier scanne,plan cadastral; statuts societe; plan amenagement; certificat de conformite; demande d'autorisation,statuts societe; certificat de conformite; plan amenagement; certificat propriete ou bail; demande d'autorisation; plan cadastral; CIN representant,certificat propriete ou bail; CIN representant,CRI / orientation investissement,15 jours,risque hygiene/securite,demande_complement,ROUGE,Verifier si le dossier AUT-2026-0005 permet d'instruire une autorisation simple declaration et lister les pieces manquantes.,autorisation simple declaration->exige->statuts societe;certificat de conformite;plan amenagement;certificat propriete ou bail;demande d'autorisation;plan cadastral;CIN representant; Dossier->a_fourni->plan cadastral;statuts societe;plan amenagement;certificat de conformite;demande d'autorisation; Dossier->manque->certificat propriete ou bail;CIN representant; Risque->ROUGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0006,2026-01-17,Agadir,imprimerie,autorisation occupation temporaire,Depot papier scanne,plan cadastral; photos du local; plan amenagement; registre de commerce; CIN representant; statuts societe; certificat propriete ou bail,registre de commerce; statuts societe; demande d'autorisation; CIN representant; certificat de conformite,demande d'autorisation; certificat de conformite,guichet commune,15 jours,surface local non documentee,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0006 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->registre de commerce;statuts societe;demande d'autorisation;CIN representant;certificat de conformite; Dossier->a_fourni->plan cadastral;photos du local;plan amenagement;registre de commerce;CIN representant;statuts societe;certificat propriete ou bail; Dossier->manque->demande d'autorisation;certificat de conformite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0007,2026-01-19,Tetouan,production agroalimentaire,autorisation occupation temporaire,Guichet commune,certificat propriete ou bail; CIN representant; registre de commerce; photos du local; statuts societe,statuts societe; plan amenagement; CIN representant; registre de commerce; demande manuscrite; plan cadastral; photos du local,plan amenagement; demande manuscrite; plan cadastral,plateforme Rokhas,30 jours,local non justifie,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0007 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->statuts societe;plan amenagement;CIN representant;registre de commerce;demande manuscrite;plan cadastral;photos du local; Dossier->a_fourni->certificat propriete ou bail;CIN representant;registre de commerce;photos du local;statuts societe; Dossier->manque->plan amenagement;demande manuscrite;plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0008,2026-01-21,Rabat,production agroalimentaire,autorisation ouverture etablissement,Depot papier scanne,statuts societe; registre de commerce; plan cadastral; plan amenagement,plan cadastral; plan amenagement; registre de commerce; photos du local; demande manuscrite,photos du local; demande manuscrite,CRI / orientation investissement,a confirmer par service competent,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0008 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->plan cadastral;plan amenagement;registre de commerce;photos du local;demande manuscrite; Dossier->a_fourni->statuts societe;registre de commerce;plan cadastral;plan amenagement; Dossier->manque->photos du local;demande manuscrite; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0009,2026-01-23,Agadir,bureau d'etudes,autorisation activite alimentaire,Rokhas,photos du local; registre de commerce; demande d'autorisation; statuts societe,demande manuscrite; demande d'autorisation; photos du local; plan amenagement; statuts societe; plan cadastral; certificat de conformite; CIN representant,demande manuscrite; plan amenagement; plan cadastral; certificat de conformite; CIN representant,service autorisations economiques,7 jours,dossier depose dans mauvais service,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0009 permet d'instruire une autorisation activite alimentaire et lister les pieces manquantes.,autorisation activite alimentaire->exige->demande manuscrite;demande d'autorisation;photos du local;plan amenagement;statuts societe;plan cadastral;certificat de conformite;CIN representant; Dossier->a_fourni->photos du local;registre de commerce;demande d'autorisation;statuts societe; Dossier->manque->demande manuscrite;plan amenagement;plan cadastral;certificat de conformite;CIN representant; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0010,2026-01-25,Tanger,bureau d'etudes,autorisation enseigne,Rokhas,certificat de conformite; demande manuscrite; registre de commerce; plan amenagement; demande d'autorisation; CIN representant,demande manuscrite; certificat de conformite; CIN representant; plan amenagement; registre de commerce; plan cadastral,plan cadastral,service autorisations economiques,15 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0010 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->demande manuscrite;certificat de conformite;CIN representant;plan amenagement;registre de commerce;plan cadastral; Dossier->a_fourni->certificat de conformite;demande manuscrite;registre de commerce;plan amenagement;demande d'autorisation;CIN representant; Dossier->manque->plan cadastral; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0011,2026-01-27,Tanger,atelier de fabrication textile,autorisation enseigne,Rokhas,plan amenagement; certificat de conformite; photos du local,photos du local; plan amenagement; CIN representant; statuts societe; demande manuscrite; registre de commerce; certificat de conformite,CIN representant; statuts societe; demande manuscrite; registre de commerce,service autorisations economiques,30 jours,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0011 permet d'instruire une autorisation enseigne et lister les pieces manquantes.,autorisation enseigne->exige->photos du local;plan amenagement;CIN representant;statuts societe;demande manuscrite;registre de commerce;certificat de conformite; Dossier->a_fourni->plan amenagement;certificat de conformite;photos du local; Dossier->manque->CIN representant;statuts societe;demande manuscrite;registre de commerce; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0012,2026-01-29,Fes,bureau d'etudes,autorisation ouverture etablissement,Depot papier scanne,demande manuscrite; plan cadastral; plan amenagement; certificat propriete ou bail; CIN representant,registre de commerce; CIN representant; certificat de conformite; statuts societe; certificat propriete ou bail,registre de commerce; certificat de conformite; statuts societe,service autorisations economiques,15 jours,piece identite absente,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0012 permet d'instruire une autorisation ouverture etablissement et lister les pieces manquantes.,autorisation ouverture etablissement->exige->registre de commerce;CIN representant;certificat de conformite;statuts societe;certificat propriete ou bail; Dossier->a_fourni->demande manuscrite;plan cadastral;plan amenagement;certificat propriete ou bail;CIN representant; Dossier->manque->registre de commerce;certificat de conformite;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
AUT-2026-0013,2026-01-31,Tanger,e-commerce artisanal,autorisation occupation temporaire,CRI,photos du local; certificat de conformite; CIN representant; plan amenagement,plan cadastral; demande d'autorisation; CIN representant; certificat propriete ou bail; registre de commerce; demande manuscrite; statuts societe; photos du local,plan cadastral; demande d'autorisation; certificat propriete ou bail; registre de commerce; demande manuscrite; statuts societe,CRI / orientation investissement,a confirmer par service competent,activite soumise a autorisation specifique,demande_complement,ORANGE,Verifier si le dossier AUT-2026-0013 permet d'instruire une autorisation occupation temporaire et lister les pieces manquantes.,autorisation occupation temporaire->exige->plan cadastral;demande d'autorisation;CIN representant;certificat propriete ou bail;registre de commerce;demande manuscrite;statuts societe;photos du local; Dossier->a_fourni->photos du local;certificat de conformite;CIN representant;plan amenagement; Dossier->manque->plan cadastral;demande d'autorisation;certificat propriete ou bail;registre de commerce;demande manuscrite;statuts societe; Risque->ORANGE,https://rokhas.ma/,cas synthetique base sur logique de pieces et d'autorisation; verifier la procedure locale exacte
