case_id,date_reception,ville,profil_entreprise,activite,programme_demande,type_demande,effectif_declare,ca_estime_mad,montant_projet_mad,pieces_fournies,pieces_manquantes,conditions_remplies,conditions_non_verifiables,incoherences_detectees,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,commentaire_extraction
AIDE-2026-0001,2026-01-06,Casablanca,TPE,restaurant et restauration rapide,PACT Qualite,certification_labelisation,8,1225850,2179613,photos du local; attestation fiscale; statuts; certificat de propriete; CIN gerant,plan de financement incomplet; preuve de depot initiale absente; justificatif local absent,situation_fiscale_documentee,regularite_sociale; cout_projet,prestataire non identifiable,avis_favorable_conditionnel,ORANGE,"Analyse le dossier AIDE-2026-0001 et indique si la TPE est eligible a PACT Qualite, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Qualite; PACT Qualite->exige->pieces_justificatives; Dossier->manque->plan de financement incomplet;preuve de depot initiale absente;justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0002,2026-01-07,Tetouan,TPE,bureau d'etudes,Go Siyaha,appui_tourisme,12,1415476,712128,photos du local; bail commercial; preuve depot initial; devis prestataire; RIB; statuts,justificatif local absent; objet de demande mal qualifie,projet_chiffre,regularite_fiscale; regularite_sociale,aucune incoherence majeure,avis_favorable_conditionnel,VERT,"Analyse le dossier AIDE-2026-0002 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->justificatif local absent;objet de demande mal qualifie; Incoherence->VERT,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0003,2026-01-08,Rabat,PME,formation professionnelle privee,MOWAKABA Conseil et Expertise,aide_accompagnement,22,9511704,4978715,ICE; RIB; preuve depot initial; attestation CNSS; photos du local,justificatif local absent; devis prestataire non signe; decision contestee non jointe,demande_recue,regularite_fiscale; cout_projet,prestataire non identifiable,escalade_hitl_rouge,ROUGE,"Analyse le dossier AIDE-2026-0003 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->justificatif local absent;devis prestataire non signe;decision contestee non jointe; Incoherence->ROUGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0004,2026-01-09,Tanger,PME,production agroalimentaire,PACT Decarbonation Eau,croissance_verte,164,14244050,6180868,photos du local; ICE; registre de commerce; bail commercial; statuts; attestation fiscale,justificatif local absent,entreprise_identifiee; situation_fiscale_documentee,regularite_sociale; cout_projet,aucune incoherence majeure,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0004 et indique si la PME est eligible a PACT Decarbonation Eau, les pieces manquantes et le niveau HITL.",Entreprise->demande->PACT Decarbonation Eau; PACT Decarbonation Eau->exige->pieces_justificatives; Dossier->manque->justificatif local absent; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0005,2026-01-10,Settat,PME,salon de coiffure,MOWAKABA Conseil et Expertise,aide_accompagnement,177,5690561,998483,statuts; bail commercial; attestation fiscale; photos du local; decision contestee; ICE; CIN gerant,activite declaree incoherente; plan de financement incomplet; preuve de depot initiale absente,situation_fiscale_documentee,regularite_sociale; cout_projet,prestataire non identifiable,non_eligible_temporaire,ORANGE,"Analyse le dossier AIDE-2026-0005 et indique si la PME est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->activite declaree incoherente;plan de financement incomplet;preuve de depot initiale absente; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0006,2026-01-11,Tanger,TPE,agence de voyage,MOWAKABA Conseil et Expertise,aide_accompagnement,9,2604548,2320634,RIB; attestation fiscale; ICE; statuts; plan de financement; attestation CNSS; photos du local,preuve de depot initiale absente; justificatif local absent; objet de demande mal qualifie,situation_fiscale_documentee; financement_decrit,cout_projet,prestataire non identifiable,demande_complement,ORANGE,"Analyse le dossier AIDE-2026-0006 et indique si la TPE est eligible a MOWAKABA Conseil et Expertise, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Conseil et Expertise; MOWAKABA Conseil et Expertise->exige->pieces_justificatives; Dossier->manque->preuve de depot initiale absente;justificatif local absent;objet de demande mal qualifie; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0007,2026-01-12,Oujda,PME,restaurant et restauration rapide,ISTITMAR PME,prime_investissement_pme,100,6652509,10057348,attestation CNSS; statuts; CIN gerant; devis prestataire; formulaire signe; ICE; registre de commerce; plan de financement,preuve de depot initiale absente,entreprise_identifiee; projet_chiffre; financement_decrit,regularite_fiscale,activite secondaire mentionnee dans un email,orientation_autre_service,ORANGE,"Analyse le dossier AIDE-2026-0007 et indique si la PME est eligible a ISTITMAR PME, les pieces manquantes et le niveau HITL.",Entreprise->demande->ISTITMAR PME; ISTITMAR PME->exige->pieces_justificatives; Dossier->manque->preuve de depot initiale absente; Incoherence->ORANGE,https://marocpme.gov.ma/istitmar/istitmar-pme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0008,2026-01-13,Fes,PME,production agroalimentaire,ISTITMAR TPE,prime_investissement_tpe,2,12364694,4478934,bail commercial; photos du local; ICE; preuve depot initial; devis prestataire,decision contestee non jointe; plan de financement incomplet,projet_chiffre,regularite_fiscale; regularite_sociale,montant devis different du plan de financement,escalade_hitl_orange,ORANGE,"Analyse le dossier AIDE-2026-0008 et indique si la PME est eligible a ISTITMAR TPE, les pieces manquantes et le niveau HITL.",Entreprise->demande->ISTITMAR TPE; ISTITMAR TPE->exige->pieces_justificatives; Dossier->manque->decision contestee non jointe;plan de financement incomplet; Incoherence->ORANGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0009,2026-01-14,Laayoune,TPE,commerce de detail alimentaire,Go Siyaha,appui_tourisme,21,1609609,2109360,decision contestee; bail commercial; attestation fiscale; preuve depot initial; devis prestataire,registre de commerce illisible; statuts non fournis; activite declaree incoherente,situation_fiscale_documentee; projet_chiffre,regularite_sociale,activite secondaire mentionnee dans un email,escalade_hitl_rouge,ROUGE,"Analyse le dossier AIDE-2026-0009 et indique si la TPE est eligible a Go Siyaha, les pieces manquantes et le niveau HITL.",Entreprise->demande->Go Siyaha; Go Siyaha->exige->pieces_justificatives; Dossier->manque->registre de commerce illisible;statuts non fournis;activite declaree incoherente; Incoherence->ROUGE,https://marocpme.gov.ma/mowakaba-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
AIDE-2026-0010,2026-01-15,Fes,TPE,agence de voyage,MOWAKABA Digitalisation,aide_digitalisation,23,2243478,2366043,preuve depot initial; decision contestee; certificat de propriete; attestation fiscale; statuts; registre de commerce; bail commercial,devis prestataire non signe; montant investissement non ventile; justificatif local absent,entreprise_identifiee; situation_fiscale_documentee,regularite_sociale; cout_projet,aucune incoherence majeure,orientation_autre_service,VERT,"Analyse le dossier AIDE-2026-0010 et indique si la TPE est eligible a MOWAKABA Digitalisation, les pieces manquantes et le niveau HITL.",Entreprise->demande->MOWAKABA Digitalisation; MOWAKABA Digitalisation->exige->pieces_justificatives; Dossier->manque->devis prestataire non signe;montant investissement non ventile;justificatif local absent; Incoherence->VERT,https://marocpme.gov.ma/mowakaba-tpme/accompagnement-technique/digitalisation-des-tpme/,cas synthetique pour extraction GraphRAG; ne pas utiliser comme decision administrative officielle
