case_id,date_reception,canal,objet_recours,decision_contestee,motif_demandeur,pieces_fournies,pieces_manquantes,statut_recevabilite_probable,risque,decision_attendue,niveau_hitl,question_administrateur_exemple,relations_graphrag_attendues,source_principale_url,note
REC-2026-0001,2026-01-08,Email,reclamation,refus,autorisation refusee pour manque justificatif local,accuse reception; courrier recours; pieces complementaires; preuve depot initial,decision contestee,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0001 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0002,2026-01-11,Guichet,demande de reouverture,demande complement,erreur de service competent signalee,registre de commerce; preuve depot initial; attestation fiscale; courrier recours; justificatif local; decision contestee; accuse reception,aucune,recevable_a_verifier,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0002 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->aucune; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0003,2026-01-14,Guichet,autorisation,orientation autre service,refus pour dossier incomplet conteste par le demandeur,pieces complementaires; preuve depot initial; attestation fiscale; justificatif local,decision contestee; courrier recours,recevabilite_non_verifiable,aucun risque majeur,escalade_hitl_orange,ORANGE,Le recours REC-2026-0003 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->refus pour dossier incomplet conteste par le demandeur; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0004,2026-01-17,Email,demande de reouverture,demande complement,autorisation refusee pour manque justificatif local,pieces complementaires; decision contestee; courrier recours; attestation fiscale,preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0004 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0005,2026-01-20,Email,aide,absence reponse,demande de reouverture apres complement de pieces,justificatif local; attestation fiscale; pieces complementaires; preuve depot initial,decision contestee; courrier recours,recevabilite_non_verifiable,contradiction entre email et decision,escalade_hitl_orange,ORANGE,Le recours REC-2026-0005 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->demande de reouverture apres complement de pieces; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0006,2026-01-23,Email,autorisation,refus,autorisation refusee pour manque justificatif local,accuse reception; justificatif local; preuve depot initial,decision contestee; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0006 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->autorisation refusee pour manque justificatif local; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0007,2026-01-26,Email,demande de reouverture,absence reponse,reclamation sur absence de reponse,attestation fiscale; registre de commerce; email service; courrier recours,decision contestee; preuve depot initial,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0007 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->reclamation sur absence de reponse; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0008,2026-01-29,Chikaya,aide,absence reponse,montant d'aide attendu different de la notification,justificatif local; email service; pieces complementaires,decision contestee; preuve depot initial; courrier recours,recevabilite_non_verifiable,demande a fort impact financier,escalade_hitl_orange,ROUGE,Le recours REC-2026-0008 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee;preuve depot initial;courrier recours; Risque->ROUGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0009,2026-02-01,Chikaya,autorisation,demande complement,montant d'aide attendu different de la notification,decision contestee; pieces complementaires; accuse reception; justificatif local; attestation fiscale; registre de commerce,preuve depot initial; courrier recours,recevabilite_non_verifiable,mauvaise orientation service,escalade_hitl_orange,ORANGE,Le recours REC-2026-0009 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->montant d'aide attendu different de la notification; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->preuve depot initial;courrier recours; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
REC-2026-0010,2026-02-04,Chikaya,autorisation,absence reponse,erreur de service competent signalee,justificatif local; accuse reception; registre de commerce; courrier recours; pieces complementaires; preuve depot initial,decision contestee,recevabilite_non_verifiable,delai sensible,escalade_hitl_orange,ORANGE,Le recours REC-2026-0010 est-il recevable et quelle reponse administrative proposer ?,Recours->conteste->erreur de service competent signalee; Recours->exige->decision_contestee; Recours->exige->preuve_depot; Dossier->manque->decision contestee; Risque->ORANGE,https://www.chikaya.ma/?lang=fr,cas synthetique pour entrainer multi-hop recours -> decision -> pieces -> HITL
