ID,Catégorie,Question possible à poser au LLM,Type de réponse attendu,Statut attendu,Phrase obligatoire minimale à vérifier,Longueur attendue,Mode de vérification,Pourquoi ce test existe,Priorité
HAR-V2-001,Éligibilité aide,Ce client est-il éligible à l’aide PME Supply Chain ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide PME Supply Chain",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-002,Éligibilité aide,Ce client est-il non éligible à l’aide PME Supply Chain ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide PME Supply Chain",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-003,Éligibilité aide,Le client est-il partiellement éligible à l’aide PME Supply Chain ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide PME Supply Chain",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-004,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide PME Supply Chain ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide PME Supply Chain ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-005,Éligibilité aide,Ce client est-il éligible à l’aide Assistance Technique ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Assistance Technique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-006,Éligibilité aide,Ce client est-il non éligible à l’aide Assistance Technique ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Assistance Technique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-007,Éligibilité aide,Le client est-il partiellement éligible à l’aide Assistance Technique ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Assistance Technique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-008,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Assistance Technique ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Assistance Technique ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-009,Éligibilité aide,Ce client est-il éligible à l’aide Transition Digitale PME ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Transition Digitale PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-010,Éligibilité aide,Ce client est-il non éligible à l’aide Transition Digitale PME ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Transition Digitale PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-011,Éligibilité aide,Le client est-il partiellement éligible à l’aide Transition Digitale PME ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Transition Digitale PME",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
HAR-V2-012,Éligibilité aide,Peut-on confirmer l’éligibilité du client à l’aide Transition Digitale PME ?,Décision non déterminable avec information manquante,Non déterminable,"Non déterminable, l’éligibilité à l’aide Transition Digitale PME ne peut pas être confirmée",150 à 200 mots maximum,contains_case_insensitive,Vérifier que le modèle n’invente pas une décision quand les données manquent.,Haute
HAR-V2-013,Éligibilité aide,Ce client est-il éligible à l’aide Modernisation Logistique ?,Décision d’éligibilité positive avec justification courte,Oui,"Oui, le client est éligible à l’aide Modernisation Logistique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse commence par une décision claire et justifiée.,Haute
HAR-V2-014,Éligibilité aide,Ce client est-il non éligible à l’aide Modernisation Logistique ?,Décision d’éligibilité négative avec justification courte,Non,"Non, le client n’est pas éligible à l’aide Modernisation Logistique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse refuse l’éligibilité sans produire une note longue.,Haute
HAR-V2-015,Éligibilité aide,Le client est-il partiellement éligible à l’aide Modernisation Logistique ?,Décision partielle avec réserve administrative,Partiellement,"Partiellement, le client semble éligible à l’aide Modernisation Logistique",150 à 200 mots maximum,contains_case_insensitive,Vérifier que la réponse nuance la décision et indique la réserve principale.,Haute
